,text,positive,negative,neutral,result,
3,"if pepsi and jetblue are paying,
turks &amp; caicos or dubai are my destination. 
zeroisnowboarding  sweepstakes",0,0,1,Negative,
4,"pepsi jetblue if pepsi and jetblue are paying,
turks &amp; caicos or dubai are my destination. 
zeroisnowboarding  sweepstakes",0,0,1,Negative,
9,pepsi jetblue is that mattrife ??,0,0,1,Negative,
10,"leading the future of the global modern selfcare industry



wef forwardlooking financialfreedom investing financialadvisor finance wef pepsi wisconsin lifesciences biotechnology scicomm healthsupplement biologist laboratorylife scientists",0,0,1,Negative,
15,"leading the future of the global modern selfcare industry



wef forwardlooking wef pepsi repharma2023 productivity  propertyrights freemarkets workers prosperity niper medical scientistlife phdchat pharmaceuticals biology biological",0,0,1,Negative,
16,pepsico pepsi fuckedupfoods,0,0,1,Negative,
17,jetgop detroitpodcast pepsi you can’t handle a few hours maybe drinking water?,0,0,1,Negative,
19,"hey pepsi it's april 21, 2023 at 02:31pm and i still don't have a pepsi holiday spice in my hands.",0.124,0,0.876,Neutral,
20,mark_lapping freebyrd316 lovemesome1980s hemanismyhero stradlemonkey motudrawing brokenbridgegxb sinjun45 captainbacon61 addictedhe the_tyebox hemanfan1 brooksidefilms tentaclause gillster37 therealwallbie aliciamariebody lizhobbs1974 smax140adams cimerians michaelodomart jfdm76 wheeljack83 deanetts seitayokokawa kevhulk73 battleramblog tylerslam dccomics mattel mastersofficial kimberlandart pepsi neca_toys hulkhogan konami metallica outbacksteakaus arcade_1up oreo pandaexpress pizzahut codyrhodes second one: ,0,0,1,Negative,
21,"amazing new releases for this long holiday 🥂..... what's your favorite song on the list? 😍
.
.
newmusicfriday eidulfitr tgif olamide ckay youngboy bluetick bluecheckmark 420day afrobeats afropop elonmusk angelinajolie kendrick hermes opay pepsi porchmusicbox  ",0.311,0,0.689,Positive,
27,"rt nheltwts: a collab of pepsi philippines &amp; sb19! thanks ninang pepsiphl for trusting our mahalima! 💙💙💙

ctto: pepsi philippines tiktok…",0.472,0,0.528,Positive,
30,"hey pepsi it's april 21, 2023 at 02:01pm and i still don't have a pepsi holiday spice in my hands.",0.124,0,0.876,Neutral,
31,"april 21, 2023 at 01:59pmhey pepsi it's april 21, 2023 at 01:59pm and i still don't have a pepsi holiday spice in my hands.",0.105,0,0.895,Neutral,
32,"hey pepsi it's april 21, 2023 at 01:59pm and i still don't have a pepsi holiday spice in my hands.",0.124,0,0.876,Neutral,
34,avo_oww shyraa__7 eboy clipdump overwatchleague mousepad tracer aimlab jsp pepsi,0,0,1,Negative,
39,"__mufeenah why not meri jan 
the words i see on pepsi pepsi",0,0,1,Negative,
41,"pepsi justin_willman mmmm yummy! i guess you could play with ilussions too with the can protector
",0.303,0,0.697,Positive,
42,"pepsico pepsi chestercheetah fritolayminis those are cute, and also compatible with the can protector! it'd be nice to enjoy them without worries!
",0.398,0,0.602,Positive,
43,pepsico pepsi you can even sell poison if you have got the skills ~ a case study of pepsico,0,0.163,0.837,Negative,
46,interested to know how much pepsi uk profits have gone down,0.384,0,0.616,Positive,
49,"pepa's journey - rare  edition - 2nd release 

pepanft pepainu 

look at the beauty... the pepsi of cryptocurrencies 

bscgems mexccommunity  mexcgobal 

trading will start on mexc in about next 60 minutes.. secure your bags.

doge shibai pepecoin ",0.15,0,0.85,Positive,
51,"i’d put what rahanagan and baptistlvjh do to build staff culture at lakeview_jh against anyone 💯 

it’s always something! somethingniceoutoftheblue🤯 pepsi ",0,0,1,Negative,
52,"rt exness: pep (pepsi), daily chart    

are you buying or selling?   

trading is risky.        
pepsi cfd exnesscharts forex stockt…",0,0.091,0.909,Negative,
53,"leading the future of the global modern selfcare industry



wef forwardlooking
financialfreedom investing financialadvisor finance wef pepsi wisconsin lifesciences biotechnology scicomm healthsupplement biologist laboratorylife scientists",0,0,1,Negative,
56,"leading the future of the global modern selfcare industry



wef forwardlooking wef pepsi repharma2023 productivity propertyrights freemarkets workers prosperity niper medical scientistlife phdchat pharmaceuticals biology biological",0,0,1,Negative,
59,"pepsi has a new facelift after 14 years, taking inspiration from its earlier predecessors and refocusing the wordmark to its centre, now with a new emphasis on 'pepsi zero sugar'.

what are your thoughts?

rebranding pepsi brandidentity ",0.086,0,0.914,Neutral,
60,"rt diwatangatin: love how you highlighted filipino street food and traditional filipino food in this food trip, pepsiphl! we need more of…",0.176,0,0.824,Positive,
61,kaye0909 with pepsi zhaolusixlays 😅😋😍,0.297,0,0.703,Positive,
63,pepsico pepsi maybe those who are not aware of consequences of entering food you produce in their bodies.,0,0,1,Negative,
64,pepsico pepsi in 1972 pepsi became the first capitalist brand produced in the soviet union btw,0,0,1,Negative,
67,dietcoke pepsiindia now days the fizz &amp, effervescence missing it in the bottle ?? do verify it cokeon cocacola pepsi fix it asap worldofcocacola dietpepsi,0,0.096,0.904,Negative
68,pepsi jetblue zeroisnowboarding sweepstakes  love jet blue &amp, pepsi zero when flying ,0.276,0,0.724,Positive
69,pepsico pepsi produce fat people and tons of plastic. go on!,0,0,1,Negative,
77,"one of my fav pepsi ads after that shahruhkhan as sachintendulkar 

blast from past actormadhavan &amp; suriya_offl 

pepsi suriya42 suriya madhavan  ",0.13,0,0.87,Neutral,
84,"rt crazy4movie_yt: kisikabhaikisikijaanreview 
1st half : average - 80% boring 10% unintentionally funny 10% entertaining 

* salmankhan…",0.262,0.104,0.633,Neutral,
86,"rt realhakd0g_: ang cute ng ig icon nila 🥹

mahalima pepsi food trip
sb19official sb19 pepsi      
sb19masarapmaibawithpepsi
pepsimas…",0.15,0,0.85,Neutral,
88,"have you noticed that all soda bottles have changed ,and fanta has the coolest ever 
fanta soda cocacolaafrica 
pepsi_jpn pepsimax 
cocacola 
pepsi 
mirinda",0,0,1,Negative,
89,pepsico pepsi this is calling 🥶,0,0,1,Negative,
91,pepsico pepsi this is definitely must try🤤🤤,0.213,0,0.787,Neutral,
98,jacodymckenzie is sexy and he drinks pepsi 🤤🤎🤎 🤣 ,0.355,0,0.645,Positive,
0,"i’m a palm oil detective, i buy palmoilfree and boycott all cp_news cussonspro unilever pepsi ferrero_eu products because their palmoil is destroying rainforest, causing mass species extinction. join me boycott4wildlife via palmoildetect  ",0.059,0.159,0.782,Negative,
1,"they may be tiny, but these minis pack some mighty flavor! get pepsi zero sugar mini cans + chestercheetah flamin' hot fritolayminis on shelves now!  ",0,0,1,Negative,
6,"simula nung dinisclose nila ito sa isang u.s. interview last year, we a'tin💠 automatically accommodated this as our dream, and we keep on hoping and manifesting.🤞🤞🫶🫶💙💙 sb19official

 sb19 pepsimasmasarapmaiba pepsi ",0.297,0,0.703,Positive,
8,"pepsico pepsi ""the perfect &amp; shortest route to diabetes,"" you meant to say, right?",0.222,0,0.778,Neutral,
10,"pepsi pepsi and the model in this pepsi pic (or an ad for pepsi from some foreign magazine??) is an elite combination. pepsi get on this please, just look at the lighting and color combination! pepsi pepsiindia pepsi_arabia ",0.081,0,0.919,Neutral,
12,flynnsdj xjessbutlerx pepsi cocacola_gb haha so true. don’t ever change  cocacola_gb,0.424,0,0.576,Positive,
14,pepsi justin_willman hello team this is coming on whatsapp and spreading forward what is the company stand on this ,0,0,1,Negative,
15,dietpepsi pepsi hello team this is coming on whatsapp and spreading forward what is the company stand on this ,0,0,1,Negative,
19,"rt shiningstell: “mas masarap maiba” stellajero_ 😍💙✨

🔗  

netizensreport stellajero  for most handsome man aliv…",0.433,0,0.567,Positive,
22,pepsico pepsi i prefer the classics ,0,0,1,Negative,
28,pepsico pepsi is this an advert for defibrillators?,0,0,1,Negative,
35,"therealcandiace what did you do to porsha4real &amp; gizellebryant 🧐
why are they so threatened and beyond bothered? scheming/bullying and they just forgot to be entertaining! 
oh and alexiae_says &amp; marysol everyone gets loud - so stop. rhugt3 rhugt pepsi♥️ teamcandiace 💯 ",0.122,0.16,0.719,Negative,
51,for sale - back to the future pepsi perfect screen-accurate bottle!  bttf backtothefuture pepsi pepsiperfect soda drink martymcfly docbrown timetravel cafe80s michaeljfox movies movie films film replica prop collector collection forsale,0.117,0,0.883,Positive,
56,pepsi jetblue i would go to hawaii. zeroisnowboarding sweepstakes,0,0,1,Negative,
65,nicomartelle freebyrd316 lovemesome1980s hemanismyhero stradlemonkey motudrawing brokenbridgegxb sinjun45 captainbacon61 addictedhe the_tyebox hemanfan1 brooksidefilms tentaclause gillster37 therealwallbie aliciamariebody lizhobbs1974 smax140adams cimerians michaelodomart jfdm76 wheeljack83 deanetts seitayokokawa kevhulk73 battleramblog tylerslam dccomics mattel mastersofficial kimberlandart pepsi neca_toys hulkhogan konami metallica outbacksteakaus arcade_1up oreo pandaexpress pizzahut codyrhodes that would be amazing. good luck bro. 😁🤜💥🤛,0.181,0.036,0.783,Positive,
67,pepsi jetblue i stopped drinking sodas seven months ago. zeroisnowboarding sweepstakes pepsi jetblue,0,0.137,0.863,Negative,
68,jetgop detroitpodcast pepsi damn...grab a water dude. it's only a few hours.,0,0,1,Negative,
72,"rt chickenjho: me all the time!! 😭 

sb19official sb19 pepsi ",0,0.251,0.749,Negative,
76,pepsi jetblue squin7y tell me this isn’t the minecraft shirt guy,0,0,1,Negative,
89,hon_alphat_18th mtnug mtnpulse_gh pepsiuganda aquafina pepsi that's great,0.369,0,0.631,Positive,
97,"kisikabhaikisikijaanreview 
1st half : average - 80% boring 10% unintentionally funny 10% entertaining 

* salmankhan𓃵 intro 
bgm aur bhai ke screen presence ne sambhal liya [ pepsi promotion 🤦‍♂️ ]

* sentimental scenes = zero impact
* interval train fight scene = good",0.197,0.088,0.716,Positive,
99,samsnuff6761 pepsi you’re welcome, i empathize deeply.,0.333,0,0.667,Neutral
0,"pepsico pepsi lays stronger together get creative
sell sell sell",0.407,0,0.593,Positive,
1,pepsico pepsi chocolate covered pretzels or yoghurt to be honest pepsi as a cool drink can only go that far 🤗,0.307,0,0.693,Positive,
2,pepsi jetblue only commenting cause he cute,0.333,0,0.667,Neutral,
14,pepsi jetblue post w/ zeroisnowboarding sweepstakes and tag pepsi and jetblue for your chance to win,0.293,0,0.707,Positive,
51,"rt ohhreallyryan: i performed with michael jackson in his 1984 pepsi: new generation commercial. i signed an nda.
pepsi …",0,0,1,Negative,
52,"rt maria171819g: mas masarap ang letson manok at liempo with pepsi

dinner tayo!

mahalima pepsi food trip
sb19official sb19
sb19masar…",0,0,1,Negative,
62,perry_ron pepsi thanks man i appreciate its very painful,0.379,0.216,0.406,Neutral,
66,samsnuff6761 pepsi oh boy at that age yes.  it is painful, my childhood dogs boo and roscoe are wrapped in my memory like chains: i visit them in my heart often. bless her and you.,0.271,0.064,0.665,Positive
75,perry_ron pepsi yeah thanks i think she’s dying  she’s 14 years old i’m really depressed,0.246,0.174,0.58,Negative,
76,samsnuff6761 pepsi i’m so sorry to hear that 🙏💙💙,0.397,0.082,0.52,Positive,
82,"if pepsi and jetblue are treating, i'm going to hawaii! zeroisnowboarding sweepstakes ",0,0,1,Negative,
89,"rt atin_italy: sb19 x pepsi

watch the full video here:🎥 pepsiphl tiktok


sb19official ",0,0,1,Negative,
93,starrylemonlime is not new. it's not different. it's sierramist. all marketing. plus it's sorry pepsi where no taste is king.,0,0.163,0.837,Negative,
96,"if you know, you know. 

rhugt3 iykyk rhugt pepsi ",0,0,1,Negative,
1,"i want to go to hawaii :) with zeroisnowboarding, sweepstakes, jetblue and pepsi",0.281,0,0.719,Neutral,
5,"pepsi edmonton oilers nhl max soul shoes
buy here: 
pepsi edmontonoilers letsgooilers nhl maxsoulshoes ",0,0,1,Negative,
7,"pepsi detroit red wings nhl max soul shoes
buy here: 
pepsi detroitredwings lgrw nhl maxsoulshoes ",0,0,1,Negative,
9,"pepsi dallas stars nhl max soul shoes
buy here: 
pepsi dallasstars texashockey nhl maxsoulshoes ",0,0,1,Negative,
10,"pepsi columbus blue jackets nhl max soul shoes
buy here: 
pepsi columbusbluejackets cbj nhl maxsoulshoes ",0,0,1,Negative,
12,after this episode i loved this season of rhught everyone shut up. rhught3 pepsi claseazul,0.218,0,0.782,Neutral,
13,"pepsi colorado avalanche nhl max soul shoes
buy here: 
pepsi coloradoavalanche goavsgo nhl maxsoulshoes ",0,0,1,Negative,
14,"pepsi chicago blackhawks nhl max soul shoes
buy here: 
pepsi chicagoblackhawks blackhawks nhl maxsoulshoes ",0,0,1,Negative,
15,"pepsi carolina hurricanes nhl max soul shoes
buy here: 
pepsi carolinahurricanes letsgocanes nhl maxsoulshoes ",0,0,1,Negative,
16,"pepsi calgary flames nhl max soul shoes
buy here: 
pepsi calgaryflames flames nhl maxsoulshoes ",0,0,1,Negative,
17,"pepsi buffalo sabres nhl max soul shoes
buy here: 
pepsi buffalosabres letsgobuffalo nhl maxsoulshoes ",0,0,1,Negative,
18,pepsi nfts - or maybe not!! ,0,0,1,Negative,
20,"pepsico pepsi this drink is amazing.

meanwhile, the internet can pay you for promoting helpful products online.

check my pinned tweet 

as long as you have a smartphone or laptop, this is for you

send a dm now",0.204,0.031,0.764,Positive,
23,"pepsi boston bruins nhl max soul shoes
buy here: 
pepsi bostonbruins nhlbruins nhl maxsoulshoes ",0,0,1,Negative,
25,"pepsi arizona coyotes nhl max soul shoes
buy here: 
pepsi arizonacoyotes yotes nhl maxsoulshoes ",0,0,1,Negative,
29,"pepsi anaheim ducks nhl max soul shoes
buy here: 
pepsi anaheimducks flytogether nhl maxsoulshoes ",0,0,1,Negative,
30,rt hallucinatier: bro you wouldn’t believe pepsi ,0,0,1,Negative,
34,bro you wouldn’t believe pepsi ,0,0,1,Negative,
36,"rt _siwperiors: ang gwapo naman talaga .. 🙈😍

📸: officialsb19 ig 

updated tags:

mahalima pepsi food trip
sb19official sb19 pepsi     …",0.1,0,0.9,Neutral,
44,pepsi jetblue zeroisnowboarding i'd love to go to turks &amp, caicos ⛱️ sweepstakes pepsi jetblue,0.208,0,0.792,Positive
46,moon2wish4 pepsi how you feeling today?,0.231,0,0.769,Negative,
48,fftmag pepsi d3datacast neighbor tim drove for 7up,0,0,1,Negative,
67,"pepsi jetblue i would love to take my family to hawaii or nyc, possibly nyc since my son's dream is to see the brooklyn bridge pepsi jetblue  zeroisnowboarding  sweepstakes",0.187,0,0.813,Positive,
70,pepsi jetblue the only reason i know you is from that ski rbi vid,0,0,1,Negative,
71,"rt maisanijah: cravings satisfied basta sb19 at pepsi ang kasama! 💯

watch the pepsiphl new video here: 


sb19of…",0.147,0,0.853,Neutral,
75,"thums up is the largest selling soft drinks brand in india. thums up generated more than rs 8,000 crores in sales last year.
softdrinks pepsi",0,0,1,Negative,
76,"rt kennchick: pablooooo wreck na wreck aq :( xori ken ang gwapo ng pinuno nyo huhu

netizensreport johnpaulonase for most handsome man a…",0.112,0.279,0.609,Negative,
77,"rt bbnijah: ang pogiiii ahhhckkk 😭

netizensreport johnpaulonase for most handsome man alive mhma2023 mhma2023johnpaulonase
thenrepor…",0.26,0.127,0.613,Neutral,
78,"rt camszmc: ayyy puteeekkk ung pag upooooo at ung fit ng pants tapos may belt tamaakanaaaa 😭😭😭😭
himlay na himlay na kooo pabloo /*nanikip…",0.056,0.276,0.668,Negative,
82,fftmag pepsi d3datacast just can’t be budlight,0,0,1,Negative,
85,"rt hairpinsnipablo: paubun to start your day! thank you ninang pepsiphl 💙

©️ pepsiph tiktok

netizensreport johnpaulonase for most han…",0.269,0,0.731,Positive,
87,perry_ron pepsi thank you she’s not doing good right now and i’m really worried,0.136,0.266,0.598,Negative,
88,"coke is better than pepsi, but cherrypepsi is better than cherrycoke. and that’s the mctruth.",0.309,0,0.691,Positive,
93,"rt sb19boost: are you g to taste something new with pepsi philippines x sb19? 

tomorrow is the reveal! 04.20.2023 💙

get ready, a'tin! fo…",0.241,0,0.759,Positive,
97,"we're looking for pepsi to become the official soft drink of d3datacast. dms are open for business arrangements.

we've been to more championships than the detroit lions. 

d3hoops  ",0.115,0,0.885,Neutral,
1,"soy_eth questnutrition humnutrition herbalife nestle mtsnutrition team_optimum pepsi abbottnews glanbiaplc based soy! 🫡

i'm working with a fitness and nutritionist brand i'm onboarding into web3. 

tysm allowing brands to easily onboard 🥲 i'll send you a dm 💪",0.115,0,0.885,Neutral,
5,drdre nbcsports pepsi nfl rocnation the real “christian funk” a new style of religious dance music..  ,0,0,1,Negative,
6,"i performed with michael jackson in his 1984 pepsi: new generation commercial. i signed an nda.
pepsi ",0,0,1,Negative,
7,pablodriboldi pepsico pepsi how would you choose to celebrate?,0.316,0,0.684,Neutral,
9,tesla_is_trex pepsico pepsi you mean there's poison in the sugar?,0,0.28,0.72,Negative,
10,rt dfydigital_: pepsi combines planning processes with their biggest client walmart to enable delivery in under two hours and much more.…,0,0,1,Negative,
20,pepsi please bring back lipton green apple green tea. thanks. good talk.,0.474,0,0.526,Positive,
25,the reason people drink pepsi and is the same reason we use it for battery corrosion cleaning. it wipes out all the dirt and scum and crud out of you. pepsi,0,0.074,0.926,Negative,
26,"rt keemstar: wings of redemption vs boogie2988! 
pepsi vs mtdew 🔋 ",0,0,1,Negative,
35,pepsico pepsi would love to try it😁,0.419,0,0.581,Positive,
49,"pepsi jetblue yikes this is tough! either greece, bali or ireland would be a dream! 💖😍

zeroisnowboarding sweepstakes pepsi jetblue",0.358,0.045,0.597,Positive,
52,"guardianlink ceo discusses nft strategy and execution work it does for pepsi, cadbury, and la times 

guardian_nft ramkumartweet jumptradenft dberlind mdlz nft commerce pepsi blackpepsi polygon matic metaverse latimes superbowl ",0,0,1,Negative,
54,giancarlosopo dislike pepsi in any form. never even heard of this.,0,0.206,0.794,Negative,
60,pepsico pepsi sodas and milk dont go together !!!!! sodas and milk dont fuckingggg go together dont fuckingggg normalise it 🤬😤😡👿,0,0.113,0.887,Negative,
61,"photoshoots with domprints  e_muder we bodied this commercial
pepsi pepsimasmasarapmaiba 420day ",0,0,1,Negative,
63,rt tacobellpotatoe: pepsi pepsi is the subway of soft drinks,0,0,1,Negative,
64,londonknights pepsi let’s finish this tonight boys goknightsgo,0,0,1,Negative,
65,londonknights pepsi go kights go!!!!,0,0,1,Negative,
68,"ayyy puteeekkk ung pag upooooo at ung fit ng pants tapos may belt tamaakanaaaa 😭😭😭😭
himlay na himlay na kooo pabloo /*nanikip ang dibdib 😩😩🤘

netizensreport johnpaulonase for most handsome man alive mhma2023 mhma2023johnpaulonase
thenreport

sb19_pablo sb19 pepsi ",0.122,0.229,0.649,Negative,
71,"reds 

for greg louisvillebats 

pepsi products. still no real money.

this is the year to give up the season tickets.

good luck.",0.218,0.081,0.701,Neutral,
73,pepsi jetblue 🤣 zeroisnowboarding sweepstakes jetblue fly at your own risk and yummy coke a pepsi ,0.257,0.082,0.661,Positive,
84,pepsi jetblue remember your last sweepstakes that involved an airplane?,0,0,1,Negative,
6,"rt todbphilippines: update 🗓04.20.23 belle mariano updated her instagram profile photo💙

“pepsimasmasarapmaiba 🍣🍿🍩”

bellemariano belle…",0.181,0,0.819,Positive,
11,"rt moonchaserbelle: flex ko lang mga bias ko! my la luna and my bulan! lezgow 🤘

imszmc felipsuperior 
sb19official sb19 pepsimasmasa…",0,0.079,0.921,Negative,
17,"ang pogiiii ahhhckkk 😭

netizensreport johnpaulonase for most handsome man alive mhma2023 mhma2023johnpaulonase
thenreport

sb19_pablo sb19 pepsi ",0.25,0.122,0.629,Neutral,
18,thread of polls to highlight how bad the recent penn state announcement is. coke versus pepsi,0.121,0.176,0.704,Negative,
20,pepsi jetblue zeroisnowboarding sweepstakes i’d go to spain to see my kids!! pepsi jetblue,0,0,1,Negative,
21,"pepsi jetblue hawaii would be great
thanks, guys
zeroisnowboarding sweepstakes 
pepsi 
jetblue 
let’s go!",0.378,0,0.622,Positive,
22,"pepsico pepsi noteworthy to all the activists in the field of forex and crypto stocks
---------------------------------------------
career opportunity without investment by joining amarkets broker partner program
----------------------------------------------
",0.097,0,0.903,Neutral,
24,"very proud of our measurable success, our beneficiaries and partnerships for decarbonizing industries in palestine (case of pepsi gaza) 🙏🤩🇺🇳🇵🇸🇪🇺 ",0.342,0,0.658,Positive,
26,"pepsi jetblue oh my gosh, spain to see my kids!!",0,0,1,Negative,
28,pepsi jetblue would love to go to wdw zeroisnowboarding sweepstakes pepsi jetblue,0.276,0,0.724,Positive,
30,"pepsi gaza after moustadama's energy audit and intervention:

☀️ 1,517 mwh of annual generated energy (with an energy bill that drops by 90%!!!)

⚙️ ee interventions saving up to 10-13% of total annual energy consumption

🌬️ 456 of co2 tons annual reduction

powerup unido ",0.189,0,0.811,Positive,
33,pepsico pepsi even though the whole wo,0,0,1,Negative,
35,pepsi jetblue i want free stuff and i’ll share it with friends! 🤗  zeroisnowboarding sweepstakes  pepsi and jetblue,0.481,0,0.519,Positive,
39,perry_ron pepsi and my bella boo my beautiful dog ,0.328,0,0.672,Neutral,
44,pepsi jetblue every nitro harley race in the season.,0,0,1,Negative,
47,cocacola_gb on a scale of 1 to buzzing how happy are you that pepsi uk has ruined the drink for everyone so coca cola is the new favourite pepsi ruinedpepsi changedrecipe,0.103,0.087,0.81,Negative,
50,"pepsi pepsi you know what the right answer is, tacobell you two are inseparable ❤️",0,0,1,Negative,
52,papajohns pepsi i need some,0,0,1,Negative,
56,derekorwhatever disney apple google amazon verizon comcast cocacola pepsi cbs why are all the comments on this account's posts unrelated about sports i'm so confused,0.061,0.108,0.831,Negative,
